p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.01292E-70,0.250452531,0.91,0.913,6.95425E-66,1-3,PTPRC
8.45567E-70,0.46693836,0.57,0.488,2.92126E-65,1-3,HLA-DRB5
6.96033E-69,0.475840706,0.53,0.489,2.40466E-64,1-3,EIF3H
1.11697E-68,0.266422403,0.814,0.812,3.85892E-64,1-3,ARPC2
1.19351E-68,0.319257227,0.717,0.714,4.12334E-64,1-3,UBA52
1.60156E-66,0.312989054,0.732,0.737,5.53306E-62,1-3,PTP4A2
3.60577E-66,0.302474927,0.742,0.732,1.24572E-61,1-3,CD44
3.73163E-66,0.491344872,0.495,0.434,1.28921E-61,1-3,ALDH2
5.30613E-63,0.440011408,0.558,0.524,1.83316E-58,1-3,NCL
1.41645E-62,0.427749318,0.563,0.538,4.89357E-58,1-3,EIF3A
4.8356E-59,0.424663044,0.552,0.517,1.6706E-54,1-3,GLTSCR2
9.04558E-59,0.382473857,0.581,0.554,3.12507E-54,1-3,FCGRT
1.21868E-58,0.414640922,0.531,0.477,4.2103E-54,1-3,TGFBI
3.27048E-57,0.478274992,0.254,0.162,1.12988E-52,1-3,HLA-DQA1
1.06238E-56,0.600797915,0.478,0.43,3.67031E-52,1-3,GADD45B
1.20972E-56,0.351509953,0.646,0.639,4.17935E-52,1-3,TGOLN2
4.34364E-56,0.409047879,0.562,0.541,1.50064E-51,1-3,RNF130
1.94774E-55,0.311718962,0.685,0.687,6.72907E-51,1-3,COX4I1
3.90774E-55,0.36532112,0.633,0.627,1.35005E-50,1-3,PRRC2C
4.99936E-53,0.348208711,0.647,0.647,1.72718E-48,1-3,YBX1
1.84034E-51,0.549953551,0.584,0.556,6.35801E-47,1-3,FOSB
4.5159E-51,0.31680648,0.633,0.64,1.56015E-46,1-3,SF3B1
4.62486E-50,0.393808589,0.553,0.532,1.5978E-45,1-3,BTF3
6.92202E-50,0.310750728,0.653,0.655,2.39142E-45,1-3,CANX
6.43357E-49,0.46562399,0.479,0.443,2.22267E-44,1-3,CLEC12A
1.60417E-48,0.695152306,0.292,0.218,5.54209E-44,1-3,HBEGF
5.39144E-48,0.324618868,0.65,0.647,1.86263E-43,1-3,BTG1
6.58381E-48,0.386534913,0.542,0.509,2.27457E-43,1-3,CPVL
8.09514E-46,0.270187696,0.76,0.778,2.79671E-41,1-3,TNFRSF1B
4.89958E-45,0.454353151,0.432,0.381,1.69271E-40,1-3,PNISR
1.20559E-42,0.380090381,0.513,0.489,4.16508E-38,1-3,HNRNPDL
2.88155E-42,0.335730755,0.561,0.538,9.95518E-38,1-3,HSP90AB1
